Race,Gender,Course,SB1,SB2,SB3,SB4,SB5,SB6,Conflict,Satisfaction,PS,ContributionSelf,ContributionNoSelf
Asian,Man,232,,,,,,,1.33,5,,0.91,0.85
White,Man,232,,,,,,,1.44,5,,1.05,1.05
Asian,Man,232,,,,,,,1.67,5,,1,1
White,Woman,232,,,,,,,2.44,4.33,,0.9,0.94
Asian,Man,232,,,,,,,2.11,4.33,,1.05,1.03
Asian,Woman,232,,,,,,,2.78,2,,1.05,1.05
White,Man,232,,,,,,,1.67,2,,1.05,1.05
White,Woman,232,,,,,,,1.78,3.33,,1.05,1.05
White,Man,232,,,,,,,1.33,5,,1.05,1.05
White,Man,232,,,,,,,1.22,3.33,,1.05,1.05
White,Man,232,,,,,,,1.11,5,,0.72,0.66
White,Woman,232,,,,,,,1.11,4,,1.01,1.03
White,Woman,232,,,,,,,1.11,4,,1.05,1.05
White,Man,232,,,,,,,1.56,5,,1.01,1
White,Man,232,,,,,,,1.78,3.67,,1,1.05
Asian,Man,232,,,,,,,1.33,5,,1.01,0.93
White,Woman,232,,,,,,,1.44,5,,1,1
White,Man,232,,,,,,,1.44,5,,1.01,1.02
White,Man,232,,,,,,,1.56,5,,1,1.01
Black,Man,232,,,,,,,1,5,,1.01,1
Black,Man,232,,,,,,,1.78,3,,1.05,1.05
Black,Man,232,,,,,,,2.33,2.67,,1,1
White,Woman,232,,,,,,,1.44,2.33,,1.02,1.04
Asian,Woman,232,,,,,,,1.67,4,,1,0.94
White,Man,232,,,,,,,1.22,4.33,,0.77,0.75
Asian,Man,232,,,,,,,1.33,2.67,,1.05,1.05
White,Woman,232,,,,,,,1.22,5,,1.05,1.05
White,Man,232,,,,,,,1,5,,1.05,1.05
White,Woman,232,,,,,,,1.89,3.67,,1.05,1.05
White,Woman,232,,,,,,,1.22,5,,1,1
Asian,Man,232,,,,,,,1.44,5,,1.01,1.01
Asian,Man,232,,,,,,,1.78,5,,1.01,1
Asian,Man,232,,,,,,,2.22,5,,1,1.01
Asian,Man,232,,,,,,,1.44,5,,1.01,1.01
White,Man,232,,,,,,,1.33,5,,1,1
White,Man,232,,,,,,,1.11,5,,1,1
White,Man,232,,,,,,,1,5,,1,1
White,Man,280,5,5,5,5,5,5,,,,,
White,Woman,280,4,4,4,4,4,4,,,,,
Black,Man,280,1,1,1,1,1,2,,,,,
White,Man,304,5,5,3,4,5,4,,,,,
White,Woman,304,2,5,4,3,4,4,,,,,
White,Man,304,5,4,5,5,5,5,,,,,
White,Woman,304,4,5,4,4,5,4,,,,,
White,Woman,304,4,5,4,4,5,5,,,,,
Asian,Woman,304,5,5,5,5,5,5,,,,,
Asian,Man,304,2,5,2,3,5,4,,,,,
White,Man,304,5,5,5,5,5,5,,,,,
White,Man,304,5,5,5,5,5,5,,,,,
Black,Man,304,4,4,4,3,3,3,,,,,
White,Nonbinary,333,5,5,4,4,5,5,,,,,
Asian,Man,333,5,5,4,4,5,4,2,2,,1.05,1.05
Hispanic,Woman,333,5,5,5,5,5,5,1,5,,1,1
White,Woman,333,5,5,5,5,5,5,1,5,,0.94,1
White,Man,333,4,4,5,5,4,5,1,5,,1.04,1.05
Asian,Man,333,4,4,4,4,4,4,,,,,
White,Woman,333,4,5,4,3,4,3,,,,,
Asian,Woman,333,5,5,5,5,5,5,,,,,
White,Nonbinary,333,5,5,5,5,5,5,,,,,
White,Man,333,4,5,4,4,5,5,1.44,2.67,,1.05,1.05
White,Man,333,4,5,5,4,5,5,,,,,
Asian,Man,333,,,,,,,1.11,5,,1,0.93
White,Man,333,,,,,,,1.56,5,,1,1.01
